,Demographic,Dataset,sex,Q1,Pseudo-Verification
8,White,SDv2.1 Celebrities,Male,0.9825581395348837,0.9912790697674418
9,Black,SDv2.1 Celebrities,Female,0.9789473684210527,0.9894736842105263
10,Indian,SDv2.1 Celebrities,Male,0.976303317535545,0.9881516587677726
11,Indian,Realism Celebrities,Male,0.9690265486725663,0.9845132743362832
12,White,Realism Celebrities,Male,0.967479674796748,0.983739837398374
13,Male,SDv2.1 Celebrities,Male,0.9636803874092009,0.9818401937046004
14,Black,Realism Celebrities,Female,0.96045197740113,0.980225988700565
15,Male,Realism Celebrities,Male,0.9552941176470588,0.9776470588235294
16,Black,SDv2.1 Celebrities,Male,0.9541284403669725,0.9770642201834863
17,Indian,Realism Celebrities,Female,0.9519650655021834,0.9759825327510917
18,Female,Realism Celebrities,Male,0.9494505494505494,0.9747252747252747
19,Female,SDv2.1 Celebrities,Male,0.9433497536945813,0.9716748768472907
20,Male,SDv2.1 Celebrities,Female,0.9426605504587156,0.9713302752293578
21,Black,Realism Celebrities,Male,0.94,0.97
22,Indian,Realism Non-Celebrities,Female,0.9377289377289377,0.9688644688644689
23,Male,Realism Non-Celebrities,Female,0.9366053169734151,0.9683026584867076
24,Male,Realism Celebrities,Female,0.9356435643564357,0.9678217821782178
25,White,Realism Celebrities,Female,0.9308755760368663,0.9654377880184332
26,Asian,Realism Celebrities,Male,0.9278846153846154,0.9639423076923077
27,White,SDv2.1 Celebrities,Female,0.9260869565217391,0.9630434782608696
28,Indian,SDv2.1 Celebrities,Female,0.9234449760765551,0.9617224880382775
29,Black,Realism Non-Celebrities,Female,0.9227799227799228,0.9613899613899615
30,Female,Realism Celebrities,Female,0.9214780600461894,0.9607390300230947
31,Male,Realism Non-Celebrities,Male,0.911660777385159,0.9558303886925795
32,Asian,SDv2.1 Celebrities,Male,0.908256880733945,0.9541284403669725
33,Female,SDv2.1 Celebrities,Female,0.900990099009901,0.9504950495049505
37,Black,Realism Non-Celebrities,Male,0.8974358974358975,0.9487179487179487
38,Indian,Realism Non-Celebrities,Male,0.896551724137931,0.9482758620689655
39,White,Realism Non-Celebrities,Male,0.8909090909090909,0.9454545454545454
40,Asian,Realism Non-Celebrities,Female,0.8908296943231441,0.945414847161572
41,Female,Realism Non-Celebrities,Female,0.8814814814814815,0.9407407407407408
42,White,Realism Non-Celebrities,Female,0.8768656716417911,0.9384328358208955
43,Asian,Realism Celebrities,Female,0.8738317757009346,0.9369158878504673
44,Asian,SDv2.1 Celebrities,Female,0.8672985781990521,0.933649289099526
45,Female,Realism Non-Celebrities,Male,0.8409506398537477,0.9204753199268738
50,Asian,Realism Non-Celebrities,Male,0.8218181818181818,0.9109090909090909
