age,education,sex,race,race_input,img,Q1,Q2,Q3,Q4.a,Q4.b,d_quality,Q1_int,Q3_int,attribute,Demographic,src_clip_similarity,tgt_clip_similarity,clip_direction,clip_image,l1loss,l2loss,dino_image_similarity,clip_edit_image_similarity
25 - 34,2 year degree,Male,Prefer Not to say,,young/white_man/9,Yes,3,Not sure,3,3,0,3,2,young,Male,0.1820068359375,0.1751708984375,0.0300140380859375,0.97802734375,0.03531746193766594,0.0035216971300542355,0.9301000237464905,0.144775390625
18 - 24,Some college,Male,White or Caucasian,,smile/white_man/8,Yes,3,Yes,3,3,0,3,3,smile,Male,0.1787109375,0.19775390625,0.1392822265625,0.98095703125,0.0313195064663887,0.0025256196968257427,0.962469220161438,0.156494140625
25 - 34,4 year degree,Male,White or Caucasian,,sunglasses/black_man/7,Yes,3,Yes,4,3,1,3,3,sunglasses,Male,0.260986328125,0.252197265625,0.2177734375,0.94970703125,0.03318550065159798,0.005099317524582148,0.9139691591262817,0.1446533203125
35 - 44,Some college,Male,White or Caucasian,,facial_hair/indian_woman/11,Yes,5,No,4,4,0,3,1,facial_hair,Female,0.2403564453125,0.288330078125,0.260986328125,0.8662109375,0.030874786898493767,0.005130719393491745,0.9588752388954163,0.2001953125
35 - 44,Graduate degree,Female,Black or African American,,young/white_woman/14,Yes,4,Not sure,4,4,0,3,2,young,Female,0.2161865234375,0.211181640625,-0.006137847900390625,0.94580078125,0.03686206787824631,0.004203542601317167,0.9810811281204224,0.19091796875
45 - 54,4 year degree,Female,White or Caucasian,,young/black_woman/6,Yes,1,No,5,5,0,3,1,young,Female,0.227783203125,0.2274169921875,0.0716552734375,0.95263671875,0.03570093587040901,0.005107247270643711,0.9482381343841553,0.158203125
25 - 34,Graduate degree,Female,Black or African American,,sunglasses/indian_man/1,Yes,4,No,5,5,0,3,1,sunglasses,Male,0.244384765625,0.260498046875,0.26611328125,0.94677734375,0.036534324288368225,0.0076308343559503555,0.7231183052062988,0.169677734375
25 - 34,Graduate degree,Female,White or Caucasian,,sunglasses/indian_woman/7,Yes,5,No,4,4,0,3,1,sunglasses,Female,0.23583984375,0.27099609375,0.25341796875,0.91845703125,0.04743579030036926,0.010415405035018921,0.9360540509223938,0.1610107421875
25 - 34,Some college,Male,White or Caucasian,,sunglasses/indian_woman/6,No,1,Yes,3,3,0,1,3,sunglasses,Female,0.268798828125,0.2255859375,0.02740478515625,0.98583984375,0.03090457059442997,0.004058022517710924,0.9914377927780151,0.07659912109375
18 - 24,2 year degree,Female,Black or African American,,smile/white_man/5,Yes,4,No,4,4,0,3,1,smile,Male,0.220458984375,0.234130859375,0.407958984375,0.97412109375,0.02729739435017109,0.004137086682021618,0.9260447025299072,0.1837158203125
18 - 24,Graduate degree,Female,Black or African American,,sunglasses/indian_woman/4,Yes,5,Not sure,4,4,0,3,2,sunglasses,Female,0.2327880859375,0.269287109375,0.134033203125,0.84912109375,0.04381822049617767,0.011718320660293102,0.8325900435447693,0.193115234375
18 - 24,4 year degree,Male,Hispanic or Latino,,young/white_woman/3,Yes,4,No,5,5,0,3,1,young,Female,0.2060546875,0.19970703125,0.033538818359375,0.99267578125,0.03465237095952034,0.00353146530687809,0.9831125736236572,0.1856689453125
25 - 34,4 year degree,Female,Black or African American,,old/indian_man/9,Yes,4,No,5,5,0,3,1,old,Male,0.230224609375,0.1944580078125,0.02374267578125,0.931640625,0.06557856500148773,0.013310044072568417,0.9328913688659668,0.1456298828125
18 - 24,Some college,Female,Black or African American,,sunglasses/indian_man/11,Yes,5,No,4,5,-1,3,1,sunglasses,Male,0.18115234375,0.261962890625,0.2275390625,0.908203125,0.029268361628055573,0.004176181275397539,0.8115774393081665,0.1771240234375
45 - 54,Graduate degree,Female,East Asian,,sunglasses/indian_woman/11,Yes,4,Yes,4,4,0,3,3,sunglasses,Female,0.2403564453125,0.2763671875,0.190185546875,0.8544921875,0.04028220474720001,0.0075585078448057175,0.9084029793739319,0.144287109375
18 - 24,4 year degree,Male,Black or African American,,facial_hair/asian_man/3,Yes,3,No,4,4,0,3,1,facial_hair,Male,0.2398681640625,0.253173828125,0.10101318359375,0.94482421875,0.02250717766582966,0.0025883170310407877,0.927091658115387,0.1708984375
35 - 44,2 year degree,Female,Other,Coloured,old/indian_man/3,Yes,4,No,4,4,0,3,1,old,Male,0.2366943359375,0.20849609375,-0.07666015625,0.94482421875,0.06418773531913757,0.015622644685208797,0.8592320680618286,0.1455078125
25 - 34,Graduate degree,Male,White or Caucasian,,young/black_woman/14,Yes,4,No,4,3,1,3,1,young,Female,0.22509765625,0.1995849609375,0.035064697265625,0.97119140625,0.025456950068473816,0.004865606781095266,0.987602174282074,0.165283203125
25 - 34,Graduate degree,Male,South Asian,,young/indian_woman/14,Yes,4,No,4,4,0,3,1,young,Female,0.21630859375,0.1885986328125,-0.0196075439453125,0.76708984375,0.043435174971818924,0.005389079451560974,0.6950439810752869,0.194580078125
25 - 34,High school graduate,Male,White or Caucasian,,smile/black_man/8,Yes,3,No,4,4,0,3,1,smile,Male,0.2220458984375,0.2239990234375,0.033050537109375,0.98291015625,0.03236464038491249,0.0037261771503835917,0.9893348217010498,0.15869140625
25 - 34,Graduate degree,Male,White or Caucasian,,smile/white_woman/12,Yes,3,No,5,5,0,3,1,smile,Female,0.1785888671875,0.196044921875,0.0933837890625,0.978515625,0.02013937011361122,0.0019324688473716378,0.9923425912857056,0.1746826171875
18 - 24,4 year degree,Male,White or Caucasian,,sunglasses/indian_man/6,Yes,4,Not sure,4,4,0,3,2,sunglasses,Male,0.251953125,0.254638671875,0.27099609375,0.95458984375,0.05238199234008789,0.00947410985827446,0.8588862419128418,0.155517578125
18 - 24,4 year degree,Female,White or Caucasian,,young/black_woman/1,No,1,Yes,5,5,0,1,3,young,Female,0.2548828125,0.2113037109375,-0.018402099609375,0.9111328125,0.07598397135734558,0.013421190902590752,0.9640234708786011,0.1639404296875
25 - 34,2 year degree,Male,White or Caucasian,,sunglasses/asian_man/5,Yes,4,Yes,4,4,0,3,3,sunglasses,Male,0.1812744140625,0.21484375,0.062744140625,0.86279296875,0.030608274042606354,0.006031403783708811,0.9508191347122192,0.201171875
25 - 34,Graduate degree,Female,Hispanic or Latino,,smile/white_man/10,Yes,4,No,4,4,0,3,1,smile,Male,0.1851806640625,0.1900634765625,0.298583984375,0.99609375,0.028065433725714684,0.0025367112830281258,0.991613507270813,0.1444091796875
18 - 24,Some college,Female,White or Caucasian,,sunglasses/white_woman/8,Yes,4,Yes,4,4,0,3,3,sunglasses,Female,0.1976318359375,0.251708984375,0.2156982421875,0.90869140625,0.03995191305875778,0.007217981852591038,0.8600583076477051,0.182373046875
18 - 24,Graduate degree,Female,White or Caucasian,,old/indian_woman/2,Yes,2,Yes,2,2,0,3,3,old,Female,0.269287109375,0.263671875,-0.035980224609375,0.92919921875,0.05745990201830864,0.014733169227838516,0.9533059597015381,0.205078125
25 - 34,Graduate degree,Female,White or Caucasian,,old/indian_man/3,Yes,5,No,4,4,0,3,1,old,Male,0.2366943359375,0.20849609375,-0.07666015625,0.94482421875,0.06418773531913757,0.015622644685208797,0.8592320680618286,0.1455078125
25 - 34,2 year degree,Male,White or Caucasian,,young/asian_woman/1,Yes,1,Yes,4,4,0,3,3,young,Female,0.2255859375,0.18798828125,-0.005619049072265625,0.93994140625,0.032191719859838486,0.004297611769288778,0.9897869229316711,0.176025390625
25 - 34,Graduate degree,Other,Prefer Not to say,,sunglasses/black_woman/8,Yes,1,Yes,4,3,1,3,3,sunglasses,Female,0.2196044921875,0.19921875,0.0595703125,0.9716796875,0.023233838379383087,0.0021121357567608356,0.990403413772583,0.09564208984375
18 - 24,4 year degree,Female,White or Caucasian,,old/asian_man/10,Yes,5,No,5,5,0,3,1,old,Male,0.2088623046875,0.222412109375,0.03851318359375,0.77490234375,0.03194073960185051,0.005978819448500872,0.7422661781311035,0.16845703125
25 - 34,Graduate degree,Male,White or Caucasian,,old/black_woman/10,Yes,4,No,5,5,0,3,1,old,Female,0.2314453125,0.19775390625,-0.03076171875,0.95166015625,0.029842384159564972,0.004350753501057625,0.9789199829101562,0.11077880859375
45 - 54,Some college,Male,White or Caucasian,,young/white_woman/2,Yes,2,Yes,4,4,0,3,3,young,Female,0.2237548828125,0.2017822265625,0.01215362548828125,0.95849609375,0.03306569159030914,0.0046186503022909164,0.9431948065757751,0.1795654296875
25 - 34,2 year degree,Female,Hispanic or Latino,,smile/white_man/0,Yes,4,No,5,5,0,3,1,smile,Male,0.25341796875,0.270751953125,0.08563232421875,0.98828125,0.02390952967107296,0.0022997583728283644,0.9759149551391602,0.1871337890625
25 - 34,Graduate degree,Male,Black or African American,,young/white_man/3,Yes,3,No,4,4,0,3,1,young,Male,0.1961669921875,0.2103271484375,0.01348114013671875,0.97900390625,0.04356122389435768,0.0067542544566094875,0.9758288264274597,0.1671142578125
18 - 24,Some college,Male,White or Caucasian,,facial_hair/black_man/0,Yes,5,No,5,5,0,3,1,facial_hair,Male,0.1444091796875,0.1441650390625,0.041961669921875,0.95947265625,0.02438347041606903,0.003775576362386346,0.9792678952217102,0.10296630859375
18 - 24,4 year degree,Male,White or Caucasian,,smile/indian_woman/10,Yes,4,Yes,4,3,1,3,3,smile,Female,0.23388671875,0.2130126953125,0.0435791015625,0.986328125,0.021747872233390808,0.0019139143405482173,0.995669960975647,0.15771484375
18 - 24,Some college,Female,Other,South African Coloured,facial_hair/indian_man/11,Yes,2,No,5,5,0,3,1,facial_hair,Male,0.18115234375,0.211669921875,-0.0038471221923828125,0.96533203125,0.016448937356472015,0.0013785390183329582,0.9913733601570129,0.164306640625
25 - 34,High school graduate,Male,White or Caucasian,,smile/indian_woman/10,Yes,2,Yes,4,3,1,3,3,smile,Female,0.23388671875,0.2130126953125,0.0435791015625,0.986328125,0.021747872233390808,0.0019139143405482173,0.995669960975647,0.15771484375
18 - 24,4 year degree,Female,Hispanic or Latino,,young/asian_man/6,Yes,4,No,5,5,0,3,1,young,Male,0.201416015625,0.1649169921875,-0.018951416015625,0.84375,0.04688327759504318,0.008704652078449726,0.8350800275802612,0.1422119140625
18 - 24,Graduate degree,Female,Hispanic or Latino,,sunglasses/white_man/3,Yes,1,Yes,4,4,0,3,3,sunglasses,Male,0.1961669921875,0.1773681640625,0.03900146484375,0.97998046875,0.041050300002098083,0.00685389619320631,0.974238395690918,0.1317138671875
35 - 44,Graduate degree,Male,White or Caucasian,,sunglasses/asian_woman/0,Not Sure,5,Yes,4,4,0,2,3,sunglasses,Female,0.2191162109375,0.306396484375,0.2724609375,0.890625,0.050569597631692886,0.010479750111699104,0.8409494757652283,0.2344970703125
35 - 44,Graduate degree,Male,White or Caucasian,,old/asian_man/10,Yes,4,No,4,4,0,3,1,old,Male,0.2088623046875,0.222412109375,0.03851318359375,0.77490234375,0.03194073960185051,0.005978819448500872,0.7422661781311035,0.16845703125
25 - 34,High school graduate,Male,Black or African American,,young/indian_woman/12,Yes,5,Yes,5,5,0,3,3,young,Female,0.171142578125,0.1832275390625,-0.00826263427734375,0.97705078125,0.03994586691260338,0.006859930232167244,0.9874589443206787,0.10504150390625
35 - 44,2 year degree,Female,White or Caucasian,,sunglasses/black_woman/10,Yes,3,Yes,3,5,-2,3,3,sunglasses,Female,0.2314453125,0.26806640625,0.29248046875,0.91259765625,0.03252576291561127,0.005091837607324123,0.8668864965438843,0.181640625
18 - 24,High school graduate,Male,Black or African American,,smile/black_man/4,Yes,5,No,5,5,0,3,1,smile,Male,0.22607421875,0.2353515625,0.2291259765625,0.982421875,0.02558561973273754,0.004002976231276989,0.9515010118484497,0.1890869140625
