age,education,sex,race,race_input,img,Q1,Q2,Q3,Q4.a,Q4.b,d_quality,Q1_int,Q3_int,attribute,Demographic,src_clip_similarity,tgt_clip_similarity,clip_direction,clip_image,l1loss,l2loss,dino_image_similarity,clip_edit_image_similarity
18 - 24,High school graduate,Male,White or Caucasian,,smile/black_woman/4,Yes,3,Yes,4,4,0,3,3,smile,Female,0.1953125,0.207763671875,0.047210693359375,0.99462890625,0.01855485700070858,0.0009194582235068083,0.9876625537872314,0.1229248046875
35 - 44,High school graduate,Female,White or Caucasian,,sunglasses/black_man/6,Yes,5,No,3,4,-1,3,1,sunglasses,Male,0.182861328125,0.2020263671875,0.1973876953125,0.927734375,0.04588864743709564,0.0076485429890453815,0.8150674700737,0.1324462890625
25 - 34,2 year degree,Male,White or Caucasian,,old/black_man/8,Yes,1,No,3,3,0,3,1,old,Male,0.1939697265625,0.17626953125,-0.0034275054931640625,0.98095703125,0.027704305946826935,0.003020717529579997,0.9889479875564575,0.08782958984375
25 - 34,Graduate degree,Male,White or Caucasian,,smile/black_woman/9,Yes,3,No,5,5,0,3,1,smile,Female,0.2421875,0.2440185546875,-0.005512237548828125,0.98876953125,0.033933792263269424,0.006430681329220533,0.9815353155136108,0.162109375
18 - 24,4 year degree,Female,Hispanic or Latino,,facial_hair/black_woman/1,Yes,3,No,3,3,0,3,1,facial_hair,Female,0.2098388671875,0.2025146484375,-0.016815185546875,0.97900390625,0.03741288557648659,0.004655699711292982,0.967761754989624,0.089111328125
18 - 24,Some college,Male,White or Caucasian,,young/indian_woman/1,No,4,No,3,3,0,1,1,young,Female,0.2119140625,0.1912841796875,0.043182373046875,0.95263671875,0.023944759741425514,0.002112708752974868,0.9917652010917664,0.1572265625
18 - 24,2 year degree,Male,White or Caucasian,,facial_hair/asian_woman/11,Yes,2,No,5,3,2,3,1,facial_hair,Female,0.2027587890625,0.200439453125,0.0577392578125,0.96142578125,0.0346309095621109,0.004871684592217207,0.8577018976211548,0.10205078125
18 - 24,Graduate degree,Male,White or Caucasian,,old/indian_woman/4,Yes,4,No,3,2,1,3,1,old,Female,0.210205078125,0.2271728515625,-0.0633544921875,0.95068359375,0.03236442059278488,0.0037807850167155266,0.9714298844337463,0.11102294921875
18 - 24,High school graduate,Female,South Asian,,smile/indian_woman/1,Yes,5,No,5,5,0,3,1,smile,Female,0.2120361328125,0.2264404296875,0.022003173828125,0.9951171875,0.016104554757475853,0.0010172015754505992,0.9965953826904297,0.1378173828125
18 - 24,2 year degree,Male,Hispanic or Latino,,smile/white_woman/2,No,1,No,3,1,2,1,1,smile,Female,0.20068359375,0.189453125,0.01544952392578125,0.69970703125,0.06099214032292366,0.011134367436170578,0.5589311718940735,0.138671875
45 - 54,Graduate degree,Female,White or Caucasian,,young/asian_woman/13,Yes,1,No,4,4,0,3,1,young,Female,0.2274169921875,0.1964111328125,0.07525634765625,0.9521484375,0.02522684633731842,0.0022180539090186357,0.9774426221847534,0.199462890625
25 - 34,Graduate degree,Female,White or Caucasian,,facial_hair/indian_woman/11,No,1,Yes,4,3,1,1,3,facial_hair,Female,0.2069091796875,0.217529296875,0.033477783203125,0.7578125,0.031095316633582115,0.0032167446333914995,0.8731075525283813,0.124755859375
45 - 54,Graduate degree,Female,White or Caucasian,,facial_hair/white_man/7,Yes,3,Yes,5,4,1,3,3,facial_hair,Male,0.1807861328125,0.1943359375,0.061279296875,0.99560546875,0.024680299684405327,0.0027306482661515474,0.996080756187439,0.1773681640625
25 - 34,4 year degree,Female,White or Caucasian,,old/asian_woman/4,Yes,4,Yes,5,5,0,3,3,old,Female,0.2030029296875,0.188232421875,0.0474853515625,0.95458984375,0.04628010094165802,0.012158605270087719,0.9910627603530884,0.123291015625
18 - 24,Graduate degree,Male,White or Caucasian,,sunglasses/black_man/3,Yes,5,No,5,5,0,3,1,sunglasses,Male,0.1968994140625,0.2391357421875,0.336181640625,0.91259765625,0.04213305190205574,0.008223120123147964,0.9499690532684326,0.200439453125
45 - 54,Some college,Male,White or Caucasian,,young/indian_man/13,Yes,4,No,4,4,0,3,1,young,Male,0.2069091796875,0.2001953125,0.0711669921875,0.95556640625,0.034286025911569595,0.00478208577260375,0.987409234046936,0.155517578125
25 - 34,Some college,Male,White or Caucasian,,smile/asian_woman/4,Yes,4,Yes,4,4,0,3,3,smile,Female,0.2030029296875,0.19873046875,0.1265869140625,0.9775390625,0.026863135397434235,0.0053247809410095215,0.989844799041748,0.144287109375
45 - 54,Some college,Female,White or Caucasian,,sunglasses/indian_man/3,Yes,4,No,4,4,0,3,1,sunglasses,Male,0.2144775390625,0.24462890625,0.2998046875,0.97802734375,0.047370776534080505,0.008904685266315937,0.8431760668754578,0.177490234375
